BashRC Sourced
00:01:26 | Processed Slot: 1671 | Confirmed Slot: 1671 | Finalized Slot: 1639 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1690 | ◎499.991735000
00:01:26 | Processed Slot: 1671 | Confirmed Slot: 1671 | Finalized Slot: 1639 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1690 | ◎499.991735000
00:01:26 | Processed Slot: 1672 | Confirmed Slot: 1672 | Finalized Slot: 1640 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1691 | ◎499.991730000
00:01:26 | Processed Slot: 1672 | Confirmed Slot: 1672 | Finalized Slot: 1640 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1691 | ◎499.991730000
00:01:27 | Processed Slot: 1673 | Confirmed Slot: 1673 | Finalized Slot: 1641 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1692 | ◎499.991725000
00:01:27 | Processed Slot: 1674 | Confirmed Slot: 1674 | Finalized Slot: 1642 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1693 | ◎499.991720000
00:01:27 | Processed Slot: 1674 | Confirmed Slot: 1674 | Finalized Slot: 1642 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1693 | ◎499.991720000
00:01:27 | Processed Slot: 1675 | Confirmed Slot: 1675 | Finalized Slot: 1643 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1694 | ◎499.991715000
00:01:28 | Processed Slot: 1676 | Confirmed Slot: 1675 | Finalized Slot: 1644 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1695 | ◎499.991715000
00:01:28 | Processed Slot: 1676 | Confirmed Slot: 1676 | Finalized Slot: 1644 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1695 | ◎499.991710000
00:01:28 | Processed Slot: 1677 | Confirmed Slot: 1677 | Finalized Slot: 1645 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1696 | ◎499.991705000
00:01:28 | Processed Slot: 1677 | Confirmed Slot: 1677 | Finalized Slot: 1645 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1696 | ◎499.991705000
00:01:29 | Processed Slot: 1678 | Confirmed Slot: 1678 | Finalized Slot: 1646 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1697 | ◎499.991700000
00:01:29 | Processed Slot: 1679 | Confirmed Slot: 1679 | Finalized Slot: 1647 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1698 | ◎499.991695000
00:01:29 | Processed Slot: 1679 | Confirmed Slot: 1679 | Finalized Slot: 1647 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1698 | ◎499.991695000
00:01:29 | Processed Slot: 1680 | Confirmed Slot: 1680 | Finalized Slot: 1648 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1699 | ◎499.991690000
00:01:30 | Processed Slot: 1680 | Confirmed Slot: 1680 | Finalized Slot: 1648 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1699 | ◎499.991690000
00:01:30 | Processed Slot: 1681 | Confirmed Slot: 1681 | Finalized Slot: 1649 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1700 | ◎499.991685000
00:01:30 | Processed Slot: 1682 | Confirmed Slot: 1682 | Finalized Slot: 1650 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1701 | ◎499.991680000
00:01:30 | Processed Slot: 1682 | Confirmed Slot: 1682 | Finalized Slot: 1650 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1701 | ◎499.991680000
00:01:31 | Processed Slot: 1683 | Confirmed Slot: 1683 | Finalized Slot: 1651 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1702 | ◎499.991675000
00:01:31 | Processed Slot: 1683 | Confirmed Slot: 1683 | Finalized Slot: 1651 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1702 | ◎499.991675000
00:01:31 | Processed Slot: 1684 | Confirmed Slot: 1684 | Finalized Slot: 1652 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1703 | ◎499.991670000
00:01:31 | Processed Slot: 1685 | Confirmed Slot: 1685 | Finalized Slot: 1653 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1704 | ◎499.991665000
00:01:32 | Processed Slot: 1685 | Confirmed Slot: 1685 | Finalized Slot: 1653 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1704 | ◎499.991665000
00:01:32 | Processed Slot: 1686 | Confirmed Slot: 1686 | Finalized Slot: 1654 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1705 | ◎499.991660000
00:01:32 | Processed Slot: 1687 | Confirmed Slot: 1686 | Finalized Slot: 1655 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1706 | ◎499.991660000
00:01:32 | Processed Slot: 1687 | Confirmed Slot: 1687 | Finalized Slot: 1655 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1706 | ◎499.991655000
00:01:33 | Processed Slot: 1688 | Confirmed Slot: 1688 | Finalized Slot: 1656 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1707 | ◎499.991650000
00:01:33 | Processed Slot: 1688 | Confirmed Slot: 1688 | Finalized Slot: 1656 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1707 | ◎499.991650000
00:01:33 | Processed Slot: 1689 | Confirmed Slot: 1689 | Finalized Slot: 1657 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1708 | ◎499.991645000
00:01:33 | Processed Slot: 1690 | Confirmed Slot: 1690 | Finalized Slot: 1658 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1709 | ◎499.991640000
00:01:34 | Processed Slot: 1690 | Confirmed Slot: 1690 | Finalized Slot: 1658 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1709 | ◎499.991640000
00:01:34 | Processed Slot: 1691 | Confirmed Slot: 1691 | Finalized Slot: 1659 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1710 | ◎499.991635000
00:01:34 | Processed Slot: 1691 | Confirmed Slot: 1691 | Finalized Slot: 1659 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1710 | ◎499.991635000
00:01:34 | Processed Slot: 1692 | Confirmed Slot: 1692 | Finalized Slot: 1660 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1711 | ◎499.991630000
00:01:35 | Processed Slot: 1693 | Confirmed Slot: 1693 | Finalized Slot: 1661 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1712 | ◎499.991625000
00:01:35 | Processed Slot: 1693 | Confirmed Slot: 1693 | Finalized Slot: 1661 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1712 | ◎499.991625000
00:01:35 | Processed Slot: 1694 | Confirmed Slot: 1694 | Finalized Slot: 1662 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1713 | ◎499.991620000
00:01:35 | Processed Slot: 1694 | Confirmed Slot: 1694 | Finalized Slot: 1662 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1713 | ◎499.991620000
00:01:36 | Processed Slot: 1695 | Confirmed Slot: 1695 | Finalized Slot: 1663 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1714 | ◎499.991615000
00:01:36 | Processed Slot: 1696 | Confirmed Slot: 1696 | Finalized Slot: 1664 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1715 | ◎499.991610000
00:01:36 | Processed Slot: 1696 | Confirmed Slot: 1696 | Finalized Slot: 1664 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1715 | ◎499.991610000
00:01:36 | Processed Slot: 1697 | Confirmed Slot: 1697 | Finalized Slot: 1665 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1716 | ◎499.991605000
00:01:37 | Processed Slot: 1698 | Confirmed Slot: 1697 | Finalized Slot: 1666 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1717 | ◎499.991605000
